epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2917.18,0.27345,0.0707,0,0.19548,0.89447,0.99994,1,0.995,0.99498,0.99994,1,0.995,0.995,0.11413,0.01655,0,0.09441,0.75883,0.000949524,0.000949524,0.000949524
31,3007.86,0.27157,0.07554,0,0.19331,0.8943,0.9999,1,0.995,0.99488,0.9999,1,0.995,0.995,0.11487,0.01931,0,0.09197,0.76103,0.000946048,0.000946048,0.000946048
32,3093.42,0.26848,0.07435,0,0.19166,0.89212,0.99994,1,0.995,0.99482,0.99994,1,0.995,0.995,0.12162,0.01539,0,0.09271,0.7612,0.000942464,0.000942464,0.000942464
33,3181.16,0.26909,0.07393,0,0.19355,0.89334,0.99995,1,0.995,0.99494,0.99995,1,0.995,0.995,0.11706,0.01644,0,0.09242,0.76109,0.000938772,0.000938772,0.000938772
34,3266.17,0.2657,0.06451,0,0.19047,0.89089,0.99995,1,0.995,0.99451,0.99995,1,0.995,0.995,0.1131,0.01461,0,0.09113,0.76011,0.000934973,0.000934973,0.000934973
35,3350.06,0.26161,0.06562,0,0.18781,0.88925,0.99992,1,0.995,0.99499,0.99992,1,0.995,0.995,0.10118,0.01502,0,0.08853,0.75786,0.000931067,0.000931067,0.000931067
36,3439.89,0.25269,0.05846,0,0.18609,0.88866,0.9999,1,0.995,0.99498,0.9999,1,0.995,0.995,0.1008,0.01282,0,0.08437,0.7575,0.000927057,0.000927057,0.000927057
37,3525.97,0.25297,0.06169,0,0.18343,0.88732,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.09833,0.0124,0,0.08479,0.75722,0.000922942,0.000922942,0.000922942
38,3613.31,0.24896,0.0644,0,0.18312,0.88811,0.99992,1,0.995,0.99497,0.99992,1,0.995,0.995,0.0983,0.01451,0,0.08616,0.75807,0.000918725,0.000918725,0.000918725
39,3704.14,0.25202,0.06189,0,0.18518,0.88722,0.99889,1,0.995,0.99498,0.99889,1,0.995,0.995,0.1023,0.01223,0,0.0856,0.75882,0.000914405,0.000914405,0.000914405
40,3791.37,0.25166,0.05821,0,0.18601,0.88679,0.99994,1,0.995,0.99498,0.99994,1,0.995,0.995,0.09347,0.0126,0,0.08548,0.75701,0.000909984,0.000909984,0.000909984
41,3873.97,0.24711,0.05771,0,0.18406,0.88539,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.0899,0.01216,0,0.07802,0.75632,0.000905463,0.000905463,0.000905463
42,3962.01,0.24271,0.05592,0,0.17889,0.88587,0.99898,1,0.995,0.99498,0.99898,1,0.995,0.995,0.09334,0.01205,0,0.08196,0.75689,0.000900844,0.000900844,0.000900844
43,4047.85,0.24555,0.06079,0,0.18237,0.88509,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.995,0.08584,0.01218,0,0.0775,0.75552,0.000896127,0.000896127,0.000896127
44,4132.7,0.24642,0.06181,0,0.18279,0.88477,0.99994,1,0.995,0.99498,0.99994,1,0.995,0.995,0.09617,0.01243,0,0.08478,0.75758,0.000891313,0.000891313,0.000891313
45,4222.59,0.24192,0.05553,0,0.17916,0.88533,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.09252,0.01273,0,0.07935,0.75654,0.000886404,0.000886404,0.000886404
46,4311.56,0.24077,0.05281,0,0.17774,0.8839,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.09752,0.01212,0,0.07972,0.75635,0.000881401,0.000881401,0.000881401
47,4397.97,0.23448,0.05705,0,0.17485,0.88178,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.995,0.08537,0.01127,0,0.07637,0.75538,0.000876305,0.000876305,0.000876305
48,4486.78,0.23659,0.05213,0,0.17474,0.88245,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.08733,0.00912,0,0.07739,0.75564,0.000871117,0.000871117,0.000871117
49,4576.5,0.22798,0.05277,0,0.17186,0.88123,0.99994,1,0.995,0.99499,0.99994,1,0.995,0.995,0.08847,0.00881,0,0.07435,0.75502,0.000865839,0.000865839,0.000865839
50,4664.26,0.22427,0.04891,0,0.16912,0.87901,0.99994,1,0.995,0.995,0.99994,1,0.995,0.995,0.08297,0.00909,0,0.07327,0.7548,0.000860473,0.000860473,0.000860473
51,4751.59,0.22767,0.05049,0,0.1703,0.88014,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.995,0.08132,0.00795,0,0.07294,0.7549,0.000855018,0.000855018,0.000855018
52,4838.39,0.22088,0.04664,0,0.16534,0.87923,0.99995,1,0.995,0.99499,0.99995,1,0.995,0.995,0.07517,0.0085,0,0.06824,0.75435,0.000849477,0.000849477,0.000849477
