frame,true_deg,obb_deg,pose_deg,fused_deg,err_obb_deg,err_pose_deg,err_fused_deg,flip_obb,flip_pose,flip_fused,obb_conf,pose_det_conf
1,-0.33567052721434937,0.8435655016501867,-0.948507687162056,-0.948507687162056,1.179236028864536,0.6128371599477067,0.6128371599477067,0,0,0,0.888813853263855,0.9287331700325012
2,-0.7006616157925354,86.01844618065678,-2.0100160218676573,-1.1608093541031763,86.71910779644932,1.3093544060751219,0.46014773831064093,0,0,0,0.8541514873504639,0.9477494359016418
3,-1.1735103826689348,89.49838658164326,2.56619054166322,-0.41540937494989716,90.6718969643122,3.739700924332154,0.7581010077190377,1,0,0,0.8889957070350647,0.9413354396820068
4,-1.5347096757211325,87.44156390555312,-2.0898806251473236,-0.7503036249893825,88.97627358127427,0.5551709494261912,0.78440605073175,0,0,0,0.9362284541130066,0.9403380155563354
5,-1.9918481537328563,86.26107499054315,-4.509563620248716,-1.5021556240412492,88.252923144276,2.5177154665158605,0.4896925296916069,0,0,0,0.9446396827697754,0.9546878337860107
6,-2.4358249639356715,88.0150743995916,-4.499093875087095,-2.1015432742504183,90.45089936352726,2.0632689111514226,0.33428168968525324,1,0,0,0.9472988843917847,0.9563928842544556
7,-3.0182783100317945,87.17635449027071,-5.718807304067048,-2.824996080213744,90.1946328003025,2.7005289940352535,0.19328222981805016,1,0,0,0.9622457027435303,0.9528387188911438
8,-3.4923060315919616,86.86446756220042,-4.957003648750378,-3.251397593921071,90.35677359379237,1.464697617158416,0.2409084376708905,1,0,0,0.9652968049049377,0.9496418237686157
9,-3.829509055820906,87.05240704740248,-6.24037896336752,-3.849193867810361,90.88191610322339,2.410869907546613,0.019684811989455053,1,0,0,0.968245267868042,0.9509983658790588
10,-4.048743614026329,86.39301375474028,-4.555006610861472,-3.990356416420583,90.44175736876662,0.506262996835143,0.05838719760574594,1,0,0,0.9689643383026123,0.9424455761909485
11,-4.267965792513881,85.20237517862365,-6.471008306708569,-4.486486794478181,89.47034097113755,2.203042514194688,0.21852100196429955,0,0,0,0.9689971208572388,0.9332399368286133
12,-4.3508949612084145,86.13577517021926,-7.0869578354003115,-5.006581002662608,90.48667013142767,2.736062874191898,0.6556860414541928,1,0,0,0.9687882661819458,0.9436352849006653
13,-4.45010217824238,85.31213631858577,-6.065394469441407,-5.2183436960183665,89.76223849682815,1.6152922911990262,0.7682415177759867,0,0,0,0.9753112196922302,0.9560257792472839
14,-4.59552074765336,86.06185203283222,-4.982403200220455,-5.171155596858785,90.65737278048557,0.3868824525670952,0.5756348492054248,1,0,0,0.9781428575515747,0.9609584808349609
15,-4.75256003016347,84.1403012532542,-4.952986992159857,-5.127521875918998,88.89286128341766,0.20042696199638677,0.37496184575552893,0,0,0,0.9798570275306702,0.9674974083900452
16,-4.7716854136131515,85.59210577266458,-4.073886695095904,-4.91679483975438,90.36379118627774,0.6977987185172477,0.1451094261412285,1,0,0,0.9778629541397095,0.9752655625343323
17,-4.700935325982398,84.97739557755261,-4.721909363298961,-4.8778177444632975,89.67833090353501,0.02097403731656298,0.17688241848089936,0,0,0,0.9763638973236084,0.9759896993637085
18,-4.630204021371862,84.53414362117546,-4.748005562826906,-4.851855308136019,89.16434764254733,0.11780154145504446,0.22165128676415796,0,0,0,0.9791613221168518,0.9786565899848938
19,-4.552055985096337,85.12406022960029,-4.656914423294626,-4.8128671311677405,89.67611621469663,0.10485843819828747,0.2608111460714031,0,0,0,0.9753419756889343,0.9741889834403992
20,-4.473927585614677,84.94036912206197,-4.424622277746028,-4.735218160483398,89.41429670767666,0.0493053078686493,0.261290574868721,0,0,0,0.9785373210906982,0.9758870601654053
21,-4.261866006698237,84.49326493899294,-4.3920973872052675,-4.666594005827772,88.75513094569118,0.13023138050703056,0.4047279991295353,0,0,0,0.9793525338172913,0.9754742980003357
22,-4.049890232033245,85.59113588580244,-4.011792288706836,-4.535633662403585,89.6410261178357,0.03809794332640917,0.48574343037034057,0,0,0,0.9820236563682556,0.9737927317619324
23,-3.731281970932837,85.39110013558029,-3.7109988683301087,-4.3707067035888905,89.12238210651311,0.020283102602728215,0.6394247326560532,0,0,0,0.9807783365249634,0.974850058555603
24,-3.412764636725755,86.03813078584476,-3.7330389549105965,-4.243173153853232,89.45089542257051,0.3202743181848416,0.8304085171274765,0,0,0,0.9785467982292175,0.9757494926452637
25,-3.1850501852223494,85.196603668775,-3.2350904712769126,-4.041556617337968,88.38165385399735,0.05004028605456291,0.8565064321156184,0,0,0,0.9798762798309326,0.975641667842865
26,-2.9348163865820003,85.87463654768217,-2.8572920502436094,-3.8047037039190963,88.80945293426417,0.07752433633839079,0.8698873173370961,0,0,0,0.9784954190254211,0.9738144278526306
27,-2.823021557794524,86.10324297920249,-2.8916731919582874,-3.6220976015269355,88.92626453699701,0.0686516341637636,0.799076043732411,0,0,0,0.9758742451667786,0.972751796245575
28,-2.59848933411411,87.00833866687756,-2.588827251714029,-3.4154435315643545,89.60682800099167,0.009662082400081212,0.8169541974502443,0,0,0,0.977069079875946,0.9710940718650818
