generation,best,mean,worst
0,-39.35405934373139,-468.7882812414273,-1476.3975370268633
1,-42.97398936659541,-328.77431317031994,-1599.1966367259668
2,-34.630163124524756,-273.28758109878925,-2460.2555975549312
3,-54.67099493729089,-264.0020017216741,-1177.518473229186
4,-53.92504795073413,-240.90974279361828,-2127.1957648180914
5,17.444801451609578,-252.8400614056024,-1960.2257148568976
6,35.32561188117717,-254.24909952420003,-1810.791257859761
7,-37.87429807540838,-250.40588186522058,-1460.0968211116563
8,-18.099462202603277,-245.94291258246298,-2128.6870589839186
9,-45.87055674636821,-265.7234779263699,-1526.8971351089415
10,0.45983906920075884,-264.7124405634343,-1357.978592611228
11,-20.16797070831769,-253.27222307512503,-1991.3140271854945
12,-23.010888038744138,-250.30262828074336,-1419.732816865462
13,29.497874433899238,-252.25086549402403,-1345.1604004076464
14,-4.428808732741463,-250.5219992551811,-2770.9918114123498
15,-28.886826766047985,-227.44171160972138,-2746.17825062823
16,3.4826386743836175,-242.40797626259925,-1756.3109834961367
17,-21.262262354306273,-244.2528324081562,-2104.6055343349694
18,-15.500682572478524,-222.835765566632,-1245.1638309392397
19,13.96745429344019,-219.37107596569288,-1379.8767485221263
20,103.92215859582001,-245.30698214085976,-3031.9148592152233
21,-36.925739043952376,-233.71358781348948,-3076.384454672448
22,148.5184814064886,-208.76989633572467,-1475.1560915998846
23,22.741383325225268,-219.35457093729917,-1422.5730545283343
24,-42.257033565248456,-215.3856549539436,-1504.2387366172197
25,23.240853363504446,-206.60973172784531,-2897.3895109585105
26,-22.30675117243811,-202.90711815539595,-1206.0984731478331
27,-14.45241338232267,-199.4449993828486,-1944.9179460806447
28,-3.9140365523042724,-193.76647792838943,-1757.4765414256572
29,59.286733419180486,-201.26351710795515,-2713.690402351654
30,43.89301749977963,-204.04051676080496,-1770.6714616221468
31,-37.191587330018216,-210.9531433628165,-2054.274873095718
32,-16.821684405081317,-204.07615676948802,-1565.4755539413027
33,-1.1902080095746612,-204.22526996101632,-1717.6145920446331
34,14.676002336269457,-218.2452254059147,-2013.2787896413395
35,-53.645440476085376,-206.01523206166024,-1708.2827629350877
36,-43.227820622560984,-201.76008708317175,-1753.8705712572448
37,-33.29170553272516,-220.01831278051634,-1475.8382649374516
38,-31.21390337933214,-216.30069946676895,-1604.0941070223173
39,-1.2713980342994897,-224.84175622799248,-1782.4764147521303
40,-11.072365352211913,-204.0609220897809,-2230.139282964752
41,-20.157637392021908,-218.63620999030118,-2346.329038622408
42,-28.37795840060367,-211.05038136459257,-1866.1457407127755
43,-22.52722494641905,-199.98498485672934,-1002.0102590801799
44,-27.699028193853866,-210.15305478361384,-1699.5801999619432
45,-28.07859136521577,-217.3183653831633,-2128.5833485204384
46,-21.85559329004931,-235.7880917279773,-1721.3658342134786
47,-0.30420506642970696,-226.7712397596646,-1795.3597333535301
48,-16.594440943650028,-210.87094469060764,-1498.5670302920823
49,10.260972241338672,-223.85317422963,-1818.4427496762926
50,-27.601683131307386,-228.78965781412873,-1842.6745776660346
51,-33.87957493134056,-198.52831786820275,-1254.233832710591
52,-30.03880780217788,-208.0404379656883,-1742.2129851927648
53,-12.074692764085151,-221.92184026828076,-2583.156278713436
54,43.06398112264012,-204.44708069064038,-1165.1163501506908
55,9.260840258385988,-198.9323281166935,-1138.778266067253
56,9.547171299284884,-199.86656569678706,-1398.413535805199
57,-16.268440094761058,-194.19646124042492,-1362.941222617756
58,1.5967974756561414,-199.910484444835,-1340.1796072252657
59,11.040883535105783,-202.37971569037646,-1419.7844259577244
60,23.929929840494612,-201.08862456916253,-2794.1596805054123
61,-31.63130667212896,-206.6722524707806,-1793.3777658697227
62,70.20997269539767,-206.30329094409103,-1210.8363215044626
63,5.633428647385746,-198.8663406760061,-1221.1443880214435
64,19.829977352639514,-195.72058835748615,-1387.1903392483262
65,37.097890454395404,-179.64201087302305,-931.6352326970496
66,-15.29824815954531,-191.677988556025,-1305.607169669403
67,73.359380412681,-181.4803438804352,-1300.8693195247245
68,-24.04447585451186,-190.04265781653956,-1389.9669698653408
69,-10.43705385001689,-194.07612805262724,-1223.5773301797203
70,-24.616724535692057,-183.69774882547713,-1178.3135700990254
71,-30.867313867994536,-202.4041101582103,-2192.72448202529
72,-18.78359988683323,-197.4066172278387,-1281.0532118952494
73,27.522830449649813,-187.82611254851315,-834.576238724133
74,37.023476866576466,-207.77079925922456,-1142.6725036727105
75,-18.384369170483055,-197.8385689065556,-1179.2902165435607
76,58.75203644245257,-199.89727010468226,-1162.6525410265992
77,-11.072307730391557,-175.14993133946288,-1544.356264642716
78,40.89328669297947,-196.67094938194836,-4081.534427149721
79,4.362988873913963,-198.23948333466015,-1506.7388530754852
80,21.66155974626608,-190.8830961589153,-1167.9908476581174
81,-9.645884211785843,-201.59587725598908,-1289.8150848038115
82,-13.991209179213987,-188.35758657199762,-960.3549327223332
83,-31.47493341244527,-191.61447234294747,-4122.323267742655
84,-31.909763338791333,-196.16432745336576,-2362.334397968941
85,-1.7222021452540919,-190.6436010793631,-970.074147243335
86,8.95494026007203,-190.58811548545583,-1511.653128480293
87,-17.975196930489663,-197.76275429491645,-1539.984026169029
88,1.0178011356673171,-189.25682566377907,-964.742852391314
89,30.807881293555102,-197.1749948690665,-1203.455011728946
90,-0.09078409058588477,-196.04794379502707,-1419.162336897208
91,-6.804309135327677,-213.59783754276532,-1954.3952615461103
